date,artist,song,youtube_url,spotify_artist_url,apple_music_artist_url,instagram_artist_url,about_artist,description
2024-10-25,Sam Van Damme,Heart-Shaped Box,https://www.youtube.com/watch?v=pGfUsqnStB8,https://open.spotify.com/artist/3gVVHWdFC9PspsNYxiEwHA,https://music.apple.com/us/artist/sam-van-damme/1536062766,https://www.instagram.com/samvandammeiam/,, 
2024-11-01,Sam Van Damme,Here's a Free Lesson,https://www.youtube.com/watch?v=8WmrQXQK7AY,https://open.spotify.com/artist/3gVVHWdFC9PspsNYxiEwHA,https://music.apple.com/us/artist/sam-van-damme/1536062766,https://www.instagram.com/samvandammeiam/,, 
2024-11-08,Erik Lucas,Revel,https://www.youtube.com/watch?v=mmwY_dhOQ2A,https://open.spotify.com/artist/4ROB3kNM2EevXsY8Jzhqr2,https://music.apple.com/us/artist/erik-lucas/1503057722,https://www.instagram.com/eriklucasmusic/,, 
2024-11-15,Kanjava,Cleyra,https://www.youtube.com/watch?v=XoFLQ2oJc1c,,,,"Kanjava is the experimental alias of AJ Javadi. With this project he aims to specialize in classic and experimental Progressive House.","Some songs take months to develop some take days and some are finished instantly. This track was one that came together and wrote itself. After seemingly banging my head against the wall for months in a creative dryspell I took a break from producing the same way I always did and focused on experimenting with new tools to help generate Chord Progressions using Logic Pro X's Scripter API. This track showcases my signature sound as of late focusing on pulsing basslines rock steady drums and unique melodic structures - with a breakdown that switches things up. I had a lot of fun producing this track and wish they could all be this easy but I hope you enjoy it."
2024-11-22,Sam Van Damme,Gentil,https://www.youtube.com/watch?v=owslsqErTZE,https://open.spotify.com/artist/3gVVHWdFC9PspsNYxiEwHA,https://music.apple.com/us/artist/sam-van-damme/1536062766,https://www.instagram.com/samvandammeiam/,, 
2024-11-29,Proppa,Techno Lady,https://www.youtube.com/watch?v=Gyf2qiaO8_E,https://open.spotify.com/artist/6h9guyYUhKLeDhyUVoOE68,https://music.apple.com/us/artist/proppa/1466844115,https://www.instagram.com/itsproppa/,, 
2024-12-06,Sam Van Damme,We The People,https://www.youtube.com/watch?v=X9UPkPaQyfA,https://open.spotify.com/artist/3gVVHWdFC9PspsNYxiEwHA,https://music.apple.com/us/artist/sam-van-damme/1536062766,https://www.instagram.com/samvandammeiam/,, 
2024-12-13,Forrest Jones,To Be Continued (Remix),https://www.youtube.com/watch?v=o98X23f1uao,,,,, 
2024-12-20,,,,,,,Did not post, 
2024-12-27,,,,,,,Did not post, 
2025-01-03,,,,,,,Did not post, 
2025-01-10,,,,,,,Did not post, 
2025-01-17,,,,,,, 
2025-01-24,,,,,,, 
2025-01-31,,,,,,, 
2025-02-07,,,,,,, 
2025-02-14,,,,,,, 
2025-02-21,,,,,,, 
2025-02-28,,,,,,, 
2025-03-07,,,,,,, 
2025-03-14,,,,,,, 
2025-03-21,,,,,,, 
2025-03-28,,,,,,, 
2025-04-04,,,,,,, 
2025-04-11,,,,,,, 
2025-04-18,,,,,,, 
2025-04-25,,,,,,, 
2025-05-02,,,,,,, 
2025-05-09,,,,,,, 
2025-05-16,,,,,,, 
2025-05-23,,,,,,, 
2025-05-30,,,,,,, 
2025-06-06,,,,,,, 
2025-06-13,,,,,,, 
2025-06-20,,,,,,, 
2025-06-27,Kanjava,Highway Drive,https://youtu.be/QJw8MTyueiM,,,,,, 
